Age,NumSurvivors
0,100000
1,99487.9921875
2,99457.7109375
3,99437.9765625
4,99422.6015625
5,99408.28125
6,99396.21875
7,99384.8359375
8,99374.234375
9,99364.8984375
10,99357.0703125
11,99350.1875
12,99342.4140625
13,99330.4921875
14,99310.234375
15,99278.1875
16,99232.5625
17,99172.9921875
18,99098.9375
19,99010.4140625
20,98907.375
21,98789.03125
22,98654.625
23,98504.640625
24,98340.28125
25,98162.875
26,97972.7578125
27,97770.40625
28,97557.59375
29,97336.4140625
30,97108.390625
31,96874.140625
32,96633.53125
33,96386.3359375
34,96131.984375
35,95869.8359375
36,95599.9296875
37,95321.8359375
38,95033.75
39,94733.2734375
40,94418.390625
41,94087.2890625
42,93739.3828125
43,93375.1640625
44,92995.703125
45,92601.03125
46,92189.8984375
47,91759.1953125
48,91304.7890625
49,90821.7421875
50,90305.8359375
51,89755.21875
52,89167.7265625
53,88538.53125
54,87861.6796875
55,87131.9453125
56,86346.4140625
57,85503.5234375
58,84600.4609375
59,83634.1875
60,82601.6875
61,81498.484375
62,80322.421875
63,79075.6484375
64,77762.890625
65,76387.3828125
66,74946.8984375
67,73437.0234375
68,71858.0703125
69,70213.015625
70,68505.2734375
71,66737.4765625
72,64908.26953125
73,63011.83984375
74,61035.8515625
75,58965.94921875
76,56789.453125
77,54497.55078125
78,52081.484375
79,49564.86328125
80,46927.859375
81,44207.07421875
82,41377.3671875
83,38477.61328125
84,35513.93359375
85,32478.58984375
86,29453.943359375
87,26392.978515625
88,23339.326171875
89,20340.705078125
90,17446.748046875
91,14706.251953125
92,12164.072265625
93,9857.951171875
94,7815.690429688
95,6053.080078125
96,4572.940429688
97,3365.478515625
98,2409.946289062
99,1677.349609375
100,1133.768798828
